id,retweet_count,favorite_count,followers_count
892420643555336193,8853,39467,3200889
892177421306343426,6514,33819,3200889
891815181378084864,4328,25461,3200889
891689557279858688,8964,42908,3200889
891327558926688256,9774,41048,3200889
891087950875897856,3261,20562,3200889
890971913173991426,2158,12041,3200889
890729181411237888,16716,56848,3200889
890609185150312448,4429,28226,3200889
890240255349198849,7711,32467,3200889
890006608113172480,7624,31166,3200889
889880896479866881,5156,28268,3200889
889665388333682689,8538,38818,3200889
889638837579907072,4735,27672,3200889
889531135344209921,2321,15359,3200889
889278841981685760,5637,25652,3200889
888917238123831296,4709,29611,3200889
888804989199671297,4559,26080,3200889
888554962724278272,3732,20290,3200889
888078434458587136,3653,22201,3200889
887705289381826560,5609,30779,3200890
887517139158093824,12082,46959,3200890
887473957103951883,18781,69871,3200890
887343217045368832,10737,34222,3200890
887101392804085760,6167,31061,3200890
886983233522544640,8084,35859,3200890
886736880519319552,3443,12306,3200890
886680336477933568,4610,22798,3200890
886366144734445568,3316,21524,3200890
886267009285017600,4,117,3200890
886258384151887873,6523,28469,3200890
886054160059072513,108,0,3200890
885984800019947520,7097,33382,3200890
885528943205470208,6683,36689,3200890
885518971528720385,3899,20788,3200890
885311592912609280,19297,0,3200890
885167619883638784,4556,22367,3200890
884925521741709313,16439,68152,3200890
884876753390489601,6096,28514,3200890
884562892145688576,5100,24765,3200890
884441805382717440,5856,27478,3200890
884247878851493888,21298,74423,3200890
884162670584377345,3128,20771,3200890
883838122936631299,3586,22349,3200890
883482846933004288,10407,46860,3200890
883360690899218434,3825,22986,3200890
883117836046086144,6949,37914,3200890
882992080364220416,4122,24445,3200890
882762694511734784,5134,28903,3200890
882627270321602560,6342,28382,3200890
882268110199369728,12118,45880,3200890
882045870035918850,5203,29900,3200890
881906580714921986,3533,24773,3200890
881666595344535552,11099,51522,3200890
881633300179243008,7,129,3200890
881536004380872706,16570,50199,3200890
881268444196462592,5358,23501,3200890
880935762899988482,2886,17346,3200890
880872448815771648,3989,21734,3200890
880465832366813184,6546,29075,3200890
880221127280381952,4436,27640,3200890
880095782870896641,4533,28150,3200890
879862464715927552,3642,22667,3200890
879674319642796034,10,315,3200890
879492040517615616,3323,23822,3200890
879415818425184262,45849,107956,3200891
879376492567855104,3261,17099,3200891
879130579576475649,7181,0,3200892
879050749262655488,4941,23022,3200892
879008229531029506,2812,19317,3200892
878776093423087618,4319,19763,3200892
878604707211726852,7582,30931,3200892
878404777348136964,1349,0,3200892
878316110768087041,6965,0,3200892
878281511006478336,1349,7913,3200892
878057613040115712,7181,42876,3200892
877736472329191424,17300,71144,3200892
877611172832227328,83,0,3200892
877556246731214848,3994,23258,3200892
877316821321428993,5414,27907,3200892
877201837425926144,5880,27755,3200892
876838120628539392,3506,21125,3200892
876537666061221889,4800,23869,3200892
876484053909872640,2511,19163,3200891
876120275196170240,4903,28490,3200891
875747767867523072,4497,25773,3200891
875144289856114688,5081,22185,3200891
875097192612077568,6342,27997,3200891
875021211251597312,4922,26022,3200891
874680097055178752,4875,28439,3200891
874434818259525634,15546,0,3200891
874296783580663808,4308,26651,3200891
874057562936811520,4125,23134,3200891
874012996292530176,11007,35501,3200891
873697596434513921,12518,0,3200891
873580283840344065,4143,24837,3200891
873337748698140672,1667,0,3200891
873213775632977920,1667,7467,3200891
872967104147763200,5669,28031,3200891
872820683541237760,3884,15029,3200891
872668790621863937,31,0,3200891
872620804844003328,3911,21309,3200891
872486979161796608,9429,41606,3200891
872261713294495745,6649,35085,3200891
872122724285648897,8549,35324,3200891
871879754684805121,11918,39090,3200891
871762521631449091,3678,20787,3200891
871515927908634625,3628,20730,3200891
871166179821445120,5991,0,3200891
871102520638267392,5764,21461,3200891
871032628920680449,3999,23255,3200891
870804317367881728,6393,33791,3200891
870726314365509632,3,121,3200891
870656317836468226,2817,12819,3200891
870374049280663552,27680,85011,3200891
870308999962521604,4384,22453,3200891
870063196459192321,8840,37771,3200891
869988702071779329,25661,0,3200891
869772420881756160,10663,43710,3200891
869702957897576449,6728,29116,3200891
869596645499047938,3327,16476,3200891
869227993411051520,4023,21112,3200891
868880397819494401,12518,55098,3200891
868639477480148993,2240,0,3200891
868622495443632128,6275,28295,3200891
868552278524837888,2240,10539,3200891
867900495410671616,4439,24964,3200891
867774946302451713,7788,35179,3200891
867421006826221569,2697,16755,3200891
867072653475098625,135,0,3200891
867051520902168576,8425,33420,3200891
866816280283807744,32883,0,3200891
866720684873056260,5168,20888,3200891
866686824827068416,3727,20070,3200891
866450705531457537,32883,106827,3200891
866334964761202691,15546,54720,3200891
866094527597207552,8952,0,3200891
865718153858494464,6008,26640,3200891
865359393868664832,5384,27530,3200891
865006731092295680,8209,29063,3200891
864873206498414592,9361,33651,3200891
864279568663928832,3266,15195,3200891
864197398364647424,9616,31459,3200891
863907417377173506,4441,21477,3200891
863553081350529029,4489,15935,3200891
863471782782697472,2687,0,3200891
863432100342583297,5664,24829,3200891
863427515083354112,105,2363,3200891
863079547188785154,1195,9094,3200891
863062471531167744,2687,8945,3200891
862831371563274240,5457,20011,3200891
862722525377298433,3809,17779,3200891
862457590147678208,5388,21492,3200891
862096992088072192,21840,66437,3200891
861769973181624320,37911,0,3200891
861383897657036800,11528,37744,3200891
861288531465048066,4479,18032,3200891
861005113778896900,4119,17538,3200891
860981674716409858,2334,0,3200891
860924035999428608,882,0,3200891
860563773140209665,2334,7878,3200891
860524505164394496,5698,24678,3200891
860276583193509888,3745,19154,3200891
860184849394610176,6295,17474,3200891
860177593139703809,33421,0,3200891
859924526012018688,4349,20021,3200891
859851578198683649,3780,16105,3200891
859607811541651456,1704,19476,3200891
859196978902773760,25661,75193,3200891
859074603037188101,14740,35553,3200891
858860390427611136,8805,0,3200891
858843525470990336,3771,16304,3200891
858471635011153920,5271,22640,3200891
858107933456039936,3154,16524,3200891
857989990357356544,2812,16952,3200891
857746408056729600,11524,36021,3200891
857393404942143489,1785,6236,3200891
857263160327368704,4934,21041,3200891
857214891891077121,20,242,3200891
857062103051644929,183,0,3200891
857029823797047296,4364,19910,3200891
856602993587888130,11633,0,3200891
856543823941562368,3131,17135,3200891
856526610513747968,2068,12446,3200891
856330835276025856,731,0,3200891
856288084350160898,17,545,3200891
856282028240666624,6841,29086,3200891
855862651834028034,27,320,3200891
855860136149123072,1058,4407,3200891
855857698524602368,2313,12498,3200891
855851453814013952,19196,47844,3200891
855818117272018944,5943,28056,3200891
855459453768019968,8987,31657,3200891
855245323840757760,6568,0,3200891
855138241867124737,50,0,3200891
854732716440526848,6690,24188,3200891
854482394044301312,7608,31131,3200891
854365224396361728,5159,20046,3200891
854120357044912130,8285,33911,3200892
854010172552949760,3433,17169,3200892
853760880890318849,6403,30414,3200892
853639147608842240,11265,37198,3200892
853299958564483072,3928,16508,3200892
852936405516943360,2243,0,3200892
852912242202992640,2037,9658,3200892
852672615818899456,2388,15939,3200891
852553447878664193,3885,17492,3200891
852311364735569921,10961,35325,3200891
852226086759018497,7570,21378,3200891
852189679701164033,1741,12217,3200891
851953902622658560,10706,0,3200891
851861385021730816,23,0,3200891
851591660324737024,3819,17300,3200891
851464819735769094,7855,25944,3200891
851224888060895234,6350,22090,3200891
850753642995093505,10352,33348,3200891
850380195714523136,2915,13994,3200891
850333567704068097,367,3647,3200891
850145622816686080,4244,17519,3200891
850019790995546112,5459,21944,3200891
849776966551130114,8404,32390,3200799
849668094696017920,5513,0,3200891
849412302885593088,3487,17039,3200891
849336543269576704,2101,12240,3200891
849051919805034497,7396,32617,3200891
848690551926992896,4826,27104,3200891
848324959059550208,4037,20229,3200891
848213670039564288,832,8834,3200891
848212111729840128,3444,17618,3200891
847978865427394560,3652,0,3200891
847971574464610304,482,0,3200891
847962785489326080,5730,25296,3200891
847842811428974592,1522,5935,3200891
847617282490613760,468,7558,3200891
847606175596138505,3774,20208,3200891
847251039262605312,4800,22036,3200891
847157206088847362,6572,21588,3200891
847116187444137987,3583,23108,3200891
846874817362120707,4404,21685,3200891
846514051647705089,13076,48410,3200891
846505985330044928,3492,15304,3200891
846153765933735936,10226,34394,3200891
846139713627017216,10972,33188,3200891
846042936437604353,3224,17256,3200891
845812042753855489,9894,31737,3200891
845677943972139009,5365,27154,3200891
845459076796616705,15071,0,3200891
845397057150107648,2072,8241,3200891
845306882940190720,6039,25225,3200891
845098359547420673,8640,0,3200891
844979544864018432,2909,14738,3200891
844973813909606400,3617,16361,3200891
844704788403113984,11633,42022,3200891
844580511645339650,3533,17871,3200891
844223788422217728,2450,14753,3200891
843981021012017153,3285,16327,3200891
843856843873095681,5220,23211,3200891
843604394117681152,3081,18310,3200891
843235543001513987,6852,23315,3200891
842892208864923648,56625,0,3200891
842846295480000512,4023,16440,3200891
842765311967449089,1439,7321,3200891
842535590457499648,3937,19637,3200891
842163532590374912,6568,26569,3200891
842115215311396866,3386,15204,3200891
841833993020538882,17504,0,3200891
841680585030541313,8748,27854,3200891
841439858740625411,4168,13755,3200891
841320156043304961,6080,21402,3200891
841314665196081154,5312,17305,3200891
841077006473256960,5991,24926,3200891
840761248237133825,1972,0,3200891
840728873075638272,18285,0,3200891
840698636975636481,3,197,3200891
840696689258311684,1116,13377,3200891
840632337062862849,1972,9761,3200891
840370681858686976,5146,17918,3200891
840268004936019968,6497,20950,3200891
839990271299457024,2597,14640,3200891
839549326359670784,8805,29957,3200891
839290600511926273,158,0,3200891
839239871831150596,7422,29684,3200891
838952994649550848,4505,21289,3200891
838921590096166913,2357,12183,3200891
838916489579200512,38,0,3200891
838831947270979586,12643,0,3200891
838561493054533637,1504,11892,3200891
838476387338051585,5484,24664,3200891
838201503651401729,11525,0,3200891
838150277551247360,370,1824,3200891
838085839343206401,0,150,3200891
838083903487373313,3582,19183,3200891
837820167694528512,8952,37277,3200891
837482249356513284,495,4204,3200891
837471256429613056,2631,13967,3200891
837366284874571778,6005,23074,3200891
837110210464448512,2731,17480,3200891
837012587749474308,88,0,3200891
836989968035819520,2610,13879,3200891
836753516572119041,5237,21029,3200891
836677758902222849,2522,13782,3200891
836648853927522308,626,0,3200891
836397794269200385,31314,0,3200891
836380477523124226,3337,16037,3200891
836260088725786625,4850,23177,3200891
836001077879255040,4935,20924,3200891
835685285446955009,9327,0,3200891
835574547218894849,4121,19447,3200891
835536468978302976,1939,0,3200891
835309094223372289,24013,0,3200891
835297930240217089,3381,17847,3200891
835264098648616962,1939,8503,3200891
835246439529840640,83,2259,3200891
835172783151792128,6516,28552,3200891
835152434251116546,3443,24574,3200891
834931633769889797,1878,11838,3200891
834786237630337024,6159,22943,3200891
834574053763584002,2882,14993,3200890
834477809192075265,12224,0,3200890
834458053273591808,1899,10512,3200890
834209720923721728,5476,22594,3200890
834167344700198914,4130,17194,3200890
834089966724603904,2427,10971,3200890
834086379323871233,2512,14296,3200890
833863086058651648,2729,14661,3200891
833826103416520705,3904,16728,3200891
833732339549220864,251,0,3200891
833722901757046785,3636,22585,3200891
833479644947025920,2357,16258,3200892
833124694597443584,5513,22133,3200892
832998151111966721,2522,14549,3200892
832769181346996225,43,0,3200892
832757312314028032,4127,18423,3200800
832682457690300417,3368,13017,3200892
832645525019123713,594,3195,3200892
832636094638288896,3220,17379,3200892
832397543355072512,2548,13126,3200892
832369877331693569,3652,18792,3200892
832273440279240704,2673,12385,3200892
832215909146226688,7069,0,3200892
832215726631055365,10723,0,3200892
832088576586297345,3,72,3200892
832040443403784192,11131,0,3200892
832032802820481025,4746,13887,3200892
831939777352105988,7031,26404,3200892
831926988323639298,39,369,3200892
831911600680497154,7458,30380,3200892
831670449226514432,2059,11469,3200892
831650051525054464,2243,7908,3200892
831552930092285952,2632,9872,3200892
831322785565769729,1744,10042,3200892
831315979191906304,1264,7117,3200892
831309418084069378,2786,12819,3200892
831262627380748289,2350,13066,3200892
830956169170665475,1735,8735,3200892
830583320585068544,19297,73397,3200892
830173239259324417,6554,0,3200892
830097400375152640,3455,10804,3200892
829878982036299777,5757,0,3200892
829861396166877184,2243,13441,3200892
829501995190984704,12224,34913,3200892
829449946868879360,2329,11519,3200892
829374341691346946,10706,38074,3200892
829141528400556032,8530,26952,3200892
829011960981237760,18627,58302,3200892
828801551087042563,3901,0,3200892
828770345708580865,6746,28085,3200892
828708714936930305,12882,40241,3200892
828650029636317184,1544,10467,3200892
828409743546925057,1305,6898,3200892
828408677031882754,1477,8398,3200892
828381636999917570,2554,13864,3200892
